1,Leonardo DiCaprio,Dom Cobb,Lead Actor
1,Joseph Gordon-Levitt,Arthur,Supporting Actor
1,Elliot Page,Ariadne,Lead Actress
2,Christian Bale,Bruce Wayne / Batman,Lead Actor
2,Heath Ledger,Joker,Supporting Actor
3,Matthew McConaughey,Cooper,Lead Actor
3,Anne Hathaway,Brand,Lead Actress
4,John Travolta,Vincent Vega,Lead Actor
4,Samuel L. Jackson,Jules Winnfield,Lead Actor
4,Uma Thurman,Mia Wallace,Lead Actress
5,Tim Robbins,Andy Dufresne,Lead Actor
5,Morgan Freeman,Ellis Boyd 'Red' Redding,Lead Actor
6,Sam Worthington,Jake Sully,Lead Actor
6,Zoe Saldana,Neytiri,Lead Actress
7,Leonardo DiCaprio,Jack Dawson,Lead Actor
7,Kate Winslet,Rose DeWitt Bukater,Lead Actress
8,Rumi Hiiragi,Chihiro Ogino,Voice Actress
